# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-27T11:17:56
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d10-1,U' B2 D' F' B2 D L' U' B2 U,10,10,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,10,0.208,58,713,657,249,3,8,10,10,359137280,optimal,1
d10-2,F2 B' U2 R' D F2 R' L2 F2 B,10,10,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,10,0.344,89,1132,1045,384,3,8,10,10,359137280,optimal,1
d10-3,R D2 R L2 B L F L2 B2 D,10,10,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,10,0.485,130,1718,1589,564,2,9,10,10,359137280,optimal,1
d11-0,B' L D' R2 B2 U L' B U2 R B',11,11,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,11,2.438,722,9592,8872,3327,3,9,11,11,359137280,optimal,1
d11-1,R D2 B2 L D R' B' R2 F2 L2 B',11,11,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,11,3.307,829,11101,10274,3747,3,9,11,11,359137280,optimal,1
d11-2,L2 U' F2 D L D' L B' R' F L2,11,11,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,11,3.195,568,7603,7036,2541,2,10,11,11,359137280,optimal,1
d11-3,D F R2 B R F' B U2 D' F' U,11,11,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,11,2.324,589,7789,7204,2712,5,7,11,11,359137280,optimal,1
d12-0,B U B D B' D' B2 R2 F2 L' U B,12,12,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,12,49.272,12964,172668,159707,60609,4,9,12,12,359137280,optimal,1
d12-1,L2 B L B' D' F' D2 F' B' U B U',12,12,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,12,13.138,3353,44578,41228,15696,4,9,12,12,359137280,optimal,1
d12-2,B D2 L B' D2 B' L2 F' L U' R' B',12,12,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,12,47.006,11063,147945,136885,51117,4,9,12,12,359137280,optimal,1
d12-3,D2 F L B2 R L' B' L2 U2 D2 B' R',12,12,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,12,33.954,8820,117593,108777,41085,5,8,12,12,359137280,optimal,1
d13-0,R' U' L2 F D2 R D' R2 U' L F L2 D',13,13,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,13,282.460,64010,854404,790398,297651,5,9,13,13,359137280,optimal,1
d13-1,R F D R L B' L2 F' B' D2 B' D' R',13,13,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,13,122.438,33742,450298,416560,156966,5,9,13,13,359137280,optimal,1
d13-2,U' R2 B L' F2 D' L U L' B2 U F2 B,13,13,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,13,316.951,86318,1153788,1067474,399834,5,9,13,13,359137280,optimal,1
d13-3,B R F R2 B' D' B' L' U R' B D2 F,13,13,ida-max-of-four,korf-ida*,max of 4 PDBs,0,1,300000,13,245.594,70875,945585,874714,330069,5,9,13,13,359137280,optimal,1
d6-0,R B2 L2 U' D' R2,6,6,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,6,0.016,6,38,32,15,1,6,6,6,359161856,optimal,1
d6-1,U2 R U F' U B',6,6,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,6,0.014,6,31,25,6,1,6,6,6,359161856,optimal,1
d6-2,B' U2 L' D' R L',6,6,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,6,0.017,6,45,39,15,1,6,6,6,359161856,optimal,1
d6-3,L' D F' U' L' D2,6,6,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,6,0.016,6,39,33,18,1,6,6,6,359161856,optimal,1
d8-0,D2 B' R' B2 U F' L2 D',8,8,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,8,0.021,8,64,56,18,1,8,8,8,359161856,optimal,1
d8-1,D2 B L' D F2 D' R L2,8,8,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,8,0.040,11,113,103,33,2,7,8,8,359161856,optimal,1
d8-2,U' R2 D2 R' U2 L2 U B',8,6,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,6,0.014,6,43,37,9,1,6,6,6,359161856,optimal,1
d8-3,R' B' D' B D B' U2 D',8,8,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,8,0.026,10,94,85,30,2,7,8,8,359161856,optimal,1
d10-0,F' B' U' D L' F D' F B2 U2,10,10,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,10,0.306,38,459,423,141,3,8,10,10,359161856,optimal,1
d10-1,U' B2 D' F' B2 D L' U' B2 U,10,10,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,10,0.230,44,527,485,183,3,8,10,10,359161856,optimal,1
d10-2,F2 B' U2 R' D F2 R' L2 F2 B,10,10,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,10,0.285,44,538,495,168,2,9,10,10,359161856,optimal,1
d10-3,R D2 R L2 B L F L2 B2 D,10,10,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,10,0.584,100,1310,1211,432,2,9,10,10,359161856,optimal,1
d11-0,B' L D' R2 B2 U L' B U2 R B',11,11,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,11,2.696,482,6391,5911,2208,3,9,11,11,359161856,optimal,1
d11-1,R D2 B2 L D R' B' R2 F2 L2 B',11,11,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,11,2.188,625,8395,7772,2781,3,9,11,11,359161856,optimal,1
