# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-26T23:10:11
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d14-0,R U2 D L B2 U2 D' F2 R' B2 L' D2 B2 U,14,14,ida-default,korf-ida*,max of 3 PDBs,0,1,300000,14,4090.040,1769573,23614559,21844991,8237640,6,9,14,14,103583744,optimal,1
d14-1,L D F' L' U' D2 F' L U' L2 B2 D' B2 D',14,14,ida-default,korf-ida*,max of 3 PDBs,0,1,300000,14,6999.609,2979834,39756537,36776709,13880373,7,8,14,14,103583744,optimal,1
d14-2,R2 B' L D2 B2 L2 F B' L' U2 R F R L',14,14,ida-default,korf-ida*,max of 3 PDBs,0,1,300000,14,9313.006,4179679,55653440,51473767,19580682,7,8,14,14,103583744,optimal,1
d14-3,F2 D2 R L2 F B' L U' F' L' B R2 U B2,14,14,ida-default,korf-ida*,max of 3 PDBs,0,1,300000,14,11331.391,4584188,61129253,56545070,21386022,6,9,14,14,103583744,optimal,1
d14-4,R B D2 R U F' B2 R F' B U D2 B2 L2,14,14,ida-default,korf-ida*,max of 3 PDBs,0,1,300000,14,37199.685,10713462,142577070,131863615,50265138,8,7,14,14,103583744,optimal,1
