# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-27T11:18:22
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d8-3,R' B' D' B D B' U2 D',8,8,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,8,0.448,10,94,85,30,2,7,8,8,103821312,optimal,1
d10-0,F' B' U' D L' F D' F B2 U2,10,10,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,10,0.735,92,1203,1113,369,3,8,10,10,103821312,optimal,1
d10-1,U' B2 D' F' B2 D L' U' B2 U,10,10,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,10,0.970,138,1780,1644,624,3,8,10,10,103821312,optimal,1
d10-2,F2 B' U2 R' D F2 R' L2 F2 B,10,10,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,10,1.060,191,2495,2306,858,3,8,10,10,103821312,optimal,1
d10-3,R D2 R L2 B L F L2 B2 D,10,10,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,10,1.156,356,4744,4389,1611,2,9,10,10,103821312,optimal,1
d11-0,B' L D' R2 B2 U L' B U2 R B',11,11,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,11,2.788,1464,19486,18024,6789,3,9,11,11,103821312,optimal,1
d11-1,R D2 B2 L D R' B' R2 F2 L2 B',11,11,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,11,4.532,3005,40263,37260,13755,3,9,11,11,103821312,optimal,1
d11-2,L2 U' F2 D L D' L B' R' F L2,11,11,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,11,2.003,1142,15314,14173,5163,2,10,11,11,103821312,optimal,1
d11-3,D F R2 B R F' B U2 D' F' U,11,11,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,11,2.795,1183,15574,14395,5619,5,7,11,11,103821312,optimal,1
d12-0,B U B D B' D' B2 R2 F2 L' U B,12,12,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,12,42.504,26185,348996,322814,122259,4,9,12,12,103821312,optimal,1
d12-1,L2 B L B' D' F' D2 F' B' U B U',12,12,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,12,20.911,13653,181910,168261,63765,5,8,12,12,103821312,optimal,1
d12-2,B D2 L B' D2 B' L2 F' L U' R' B',12,12,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,12,36.857,24399,326118,301722,112992,4,9,12,12,103821312,optimal,1
d12-3,D2 F L B2 R L' B' L2 U2 D2 B' R',12,12,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,12,29.379,20361,271549,251192,94869,5,8,12,12,103821312,optimal,1
d13-0,R' U' L2 F D2 R D' R2 U' L F L2 D',13,13,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,13,222.055,146482,1955452,1808974,681099,5,9,13,13,103821312,optimal,1
d13-1,R F D R L B' L2 F' B' D2 B' D' R',13,13,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,13,115.774,75735,1011523,935792,351615,5,9,13,13,103821312,optimal,1
d13-2,U' R2 B L' F2 D' L U L' B2 U F2 B,13,13,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,13,257.018,162176,2167490,2005318,751521,5,9,13,13,103821312,optimal,1
d13-3,B R F R2 B' D' B' L' U R' B D2 F,13,13,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,13,304.044,191014,2545263,2354254,892854,6,8,13,13,103821312,optimal,1
d6-0,R B2 L2 U' D' R2,6,6,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,6,0.901,6,38,32,15,1,6,6,6,103870464,optimal,1
d6-1,U2 R U F' U B',6,6,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,6,0.396,6,31,25,6,1,6,6,6,103870464,optimal,1
d6-2,B' U2 L' D' R L',6,6,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,6,0.323,6,45,39,15,1,6,6,6,103870464,optimal,1
d6-3,L' D F' U' L' D2,6,6,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,6,0.298,6,39,33,18,1,6,6,6,103870464,optimal,1
d8-0,D2 B' R' B2 U F' L2 D',8,8,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,8,0.283,9,79,70,21,1,8,8,8,103870464,optimal,1
d8-1,D2 B L' D F2 D' R L2,8,8,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,8,0.631,13,140,128,42,2,7,8,8,103870464,optimal,1
